PetID,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4
5ca64db1a,-1.7091542,0.09876404,0.39028257,0.31955466,0.78777486
5d808057a,-1.8724401,0.05013129,0.057332225,0.24651335,1.4042432
5dd7c4c06,-2.2763073,-0.24242792,0.6371237,0.7182891,0.95742536
615213076,-2.9223378,-0.6656097,-0.15707676,0.68904275,2.9466336
61afb7281,-0.962453,1.4168454,0.9065331,-0.4084397,-1.3181698
651d63dd7,-0.53584075,2.2533493,0.86082757,-0.07795788,-2.7699661
6607c6e22,-2.2478669,0.44933093,0.26379573,0.5685014,1.1808976
66b206dbe,-2.5369012,-1.4549527,0.5981081,0.92321014,2.4218612
699a81c51,0.13312921,1.9932579,0.782967,-1.0253837,-2.113993
6a72cfda7,-0.90775996,0.52021664,0.44018763,0.18579157,-0.5810499
6b7be833c,-3.5999918,-0.69429785,0.09957243,1.151656,2.559444
6c61c33ee,-1.2727319,1.4066266,2.0052636,0.39135057,-2.7267833
6db27dbb7,-1.2755766,0.2018917,-0.24328135,0.19687171,1.1916215
71deb8267,-3.058807,-0.06061939,0.8536357,1.1708072,0.95096725
77f9b1470,-2.1081321,-1.2111151,0.9244241,0.959058,1.5619795
79bf5eb37,-2.0989258,-0.016220726,1.3525957,0.53658444,0.40518716
85078bc71,-1.8998686,0.9585464,-0.09750572,0.79458046,0.1879211
8693c4e7f,-2.259525,0.27168956,0.18372414,1.5441735,0.42048243
8b8c686ec,-2.0751128,1.619949,-0.54421395,0.09719892,0.6914429
95ee4775c,-1.2487193,0.44582507,0.86749196,-0.06252545,0.018729933
96b7978d2,-1.9121598,1.3907478,0.39468667,0.76075363,-0.57958734
999d24492,-1.908718,-0.19747505,0.9496448,0.7063051,0.60780954
9be11ef9b,-0.5135942,0.41480803,-0.0759246,-0.021897731,-0.013826955
9c7917558,-1.1370883,0.78291905,0.69104517,0.15747632,-0.5771275
9d4cf29f6,-2.9730887,-0.38536003,1.2074084,0.2334197,1.8925408
9f3fe015b,-2.3178291,-1.6265455,0.5565682,1.196775,2.3166685
9ff766a26,-2.298415,-1.3527759,0.32720238,1.4429585,1.9194579
a0825ad18,-2.9570448,-0.109017424,1.6654698,0.77152824,0.5894962
a0c15424b,-1.6927986,0.6509505,1.2650644,0.4535363,-0.5541655
a12589a09,-1.1698405,0.18834029,0.442192,0.9661431,-0.6838039
a46ad5cc3,-2.7725823,-0.31721392,0.10185062,0.9546644,1.9302864
a4edd47eb,-1.8612986,0.4332709,0.63134825,0.6233179,0.43690577
acde4eb5b,-1.8127496,0.98827636,0.1903988,-0.10511696,0.8082894
ad2b462ee,-0.443881,1.2566646,0.56370527,-0.17476508,-1.5204287
ae946bb63,-0.88065463,1.2283496,0.741002,0.052901346,-1.1531477
b5f846518,-1.3566514,0.22046016,0.6990541,0.38614845,0.102733016
bf458a7d4,-1.9614526,0.27260193,0.74055004,0.36481428,0.40494743
ceee65059,-1.7831694,-0.089647986,0.21438356,0.11733937,1.388811
d76c4ec1e,-1.9048939,0.27918026,0.25114948,0.5628752,0.61560154
d83aa1f02,-2.614721,0.3727252,0.86278546,0.7808485,0.66183466
d9b63ae80,-0.23743266,1.2508544,0.5461459,-0.17183906,-1.3072276
e42dc215d,-1.2903556,0.40486342,0.1793225,0.8141268,-0.4669087
e67f4856d,-0.68784326,0.8600492,0.7927743,-0.16502331,-1.0151012
e9a47e731,-1.2785053,-0.33568525,0.02684748,0.30069426,1.162997
ed81d1da8,-2.093244,0.59031427,0.8356623,0.4135771,0.07077968
f03979157,-1.6920872,0.56391686,0.8409587,0.1788545,-0.358113
f9347cf8e,-2.3439636,-0.41717228,0.04576037,0.76989686,1.7015849
fa4314902,-1.5067093,0.7373209,0.91067183,0.29589906,-0.27555057
fda10b9ed,-1.2585433,0.47257516,0.60769206,0.33629656,-0.17403921
002230dea,-1.4373198,0.91531175,0.95276153,0.19608958,-0.35736936
0063f83c9,-1.5663251,0.43205455,-0.2028374,1.0095954,0.16297428
017eda6dc,-1.0411617,0.6826314,-0.52148813,0.2700533,0.5658665
01ba86830,-0.5263578,0.39372948,0.51227695,-0.20452173,-0.0063100834
02d644003,-1.1771723,0.15397525,0.390131,0.5032254,-0.15230149
03c49f5aa,-1.4800098,0.86494386,0.7016769,-0.09739885,-0.22824802
03f65bdd3,-1.096359,0.3809063,0.24266122,-0.0462669,0.43422952
04a30a9ea,-1.585592,-0.4305,-0.12810045,0.7675593,1.394131
04b073592,-1.4347169,0.4141998,0.32667464,0.21286736,0.16654307
04f7eafde,-0.94221026,1.333648,0.7722552,0.2304764,-1.3536026
05a05d562,-1.3195795,-0.36642513,0.3862608,0.85544264,0.6418692
05d3e4d55,-0.9198211,0.7559508,0.24476384,-0.21753828,-0.11437722
0636650db,-1.2937088,0.7880104,0.19135441,-0.1417813,-0.25582653
0637293ec,-1.2710348,0.5932568,0.5442344,0.25025934,-0.20344022
06c724ada,-0.26234806,1.0562619,0.6649561,-0.18590721,-1.3653706
06f523361,-0.10377621,1.5707539,0.3680442,-0.48472935,-1.3066158
073f265c3,-0.80492616,1.2463925,0.82631564,-0.3675803,-0.86913145
0753ad1cd,-2.1963356,1.2860175,1.6649634,0.83052725,-1.7629753
079785984,-2.231891,0.5226617,1.7591282,1.1016103,-1.5907897
07e6b5eae,-2.7185764,0.39150995,2.3563616,0.65110755,-0.9172539
087804d85,-1.7514685,1.1694813,0.6678795,1.4850316,-1.2176605
0993b5aa2,-1.9119318,1.01478,0.6607737,0.869684,-0.9920197
0a1b57b57,-1.9168725,-1.0256462,1.0562867,0.8232538,0.7238923
0a266921d,-1.7826909,0.74982727,0.6411343,0.6679981,-0.44844797
0a4203544,-2.0771952,0.30932868,-0.5819875,1.4530264,1.0321208
0a8746c09,-2.7457166,-1.0111343,0.5594961,0.60242516,2.3415663
0ac71c2c1,-1.6709121,0.18126819,0.39092672,0.6365859,0.1330628
0b2e2526c,-1.5742795,1.2726505,0.5054784,-0.11515811,-0.3276401
0b4bb9906,-1.6080892,-0.19101956,1.5482923,0.34775984,-0.028244335
0e30e8240,-0.34804446,1.0876042,1.012032,-0.511356,-1.4709187
0e6523901,-1.115998,0.93944246,0.91820073,0.34766462,-1.3466531
0e6c32c9f,-1.7915337,-0.17226991,0.95549005,0.5824936,0.46951833
0f122f712,-2.5228,-0.8737678,0.36914867,0.5552493,2.6861217
0f1424059,-0.8138374,0.3581585,0.6682082,-0.7137858,0.27617148
0f27a7baa,-3.051172,-1.2710307,0.89629257,1.4568198,2.1646369
0f796d3f9,-1.271465,0.6453228,0.6603098,-0.105016425,-0.39477506
0fe9d0022,-1.9580492,1.1524385,0.8811404,0.35646197,-0.33649936
10fbc9548,-1.8976442,-1.2420998,0.60452497,0.80145913,1.6648936
125522846,-2.6449487,1.5589237,2.4677587,0.3341242,-1.6895525
130797334,-1.6445087,0.68065864,0.3836636,0.5392735,0.2590873
13eafff41,-0.7578326,0.20297638,0.12405628,0.067252785,0.3158216
13f07ee9a,-1.3654613,0.3121856,1.3590928,0.1532195,-0.7184749
143027239,-2.4476109,1.5357515,0.4283696,0.6407482,-0.4234581
1542ab941,-2.8512375,-0.26441613,0.8010899,0.9570138,1.2311165
163133ac9,-1.1165481,0.39098215,1.102155,-0.23892637,-0.30916283
16472756f,-0.67103153,1.1380836,0.8038427,-0.2628447,-1.1917567
167a6dcf3,-2.874591,-0.56276906,0.41298324,1.7978088,1.4964366
1696809dd,-1.581613,0.75460297,0.9559036,1.1164992,-1.289557
18042e473,-1.038271,0.5545197,0.35182765,0.079269364,-0.13568792
181c10e45,-1.9242684,0.51175654,0.031045714,0.7438785,0.82951504
18556365a,-0.7715727,1.2756258,0.87447107,-0.57936037,-1.0759269
18b6fc5f0,-3.095295,-0.80577356,1.7188972,1.5125101,0.92250234
1976719f7,-0.5238338,1.2352096,0.2607661,-0.3219047,-0.84483737
1a2c23d4c,-1.4123703,-0.037713088,0.99480486,0.6153529,-0.4007159
1a4a2e683,-1.177914,0.664803,0.6902511,-0.07091829,-0.2158536
1a67ffb8b,-1.4575423,0.15898246,0.54387677,0.47033456,0.37914723
1a6becd27,-0.6771,1.000405,0.8230232,-0.17701481,-0.8729821
1a783228c,-1.7057095,0.3855668,0.4792041,0.32951024,0.5216512
1b154dffa,-2.0486472,0.3805546,1.45266,1.2144828,-0.982753
1b932e373,-2.3916607,1.1119504,1.6419817,0.78649884,-1.204066
1c0aa9866,-1.3828443,0.73384994,0.90724117,0.50063187,-1.0385578
1ce555db8,-1.6233578,0.530655,1.26925,0.6139615,-0.6964351
1d6944a82,-0.9580836,1.1210291,0.95288265,-0.1599377,-1.2544403
1e62a77e1,-2.873452,0.5221016,1.0479289,1.0077366,0.028163485
1e7a3b766,-0.97374094,0.6339108,0.69436103,0.6047574,-0.73998386
1e7e220d7,-2.659185,0.253167,0.9383731,1.5599681,-0.20144178
1e8187711,-2.0029452,0.12307991,1.2899214,0.4373077,-0.07949304
1f393155e,-2.5287604,0.3181941,-0.16716847,0.6011295,1.6817008
1f58a286e,-3.2634325,-1.0506085,0.22110845,1.5898069,2.5976892
1f72d4b56,-0.89129543,1.1564002,0.43577862,0.11031528,-0.9888647
1ffb40e20,-2.1117105,-0.9235766,0.765839,1.0716503,1.3316464
207aa47a6,-0.42039266,1.3232448,0.18006447,-0.15577866,-1.0223508
207d61997,-1.596333,0.70061743,1.4138719,0.59924036,-1.1170756
20ba919c6,-1.8115598,-0.049630977,0.56636983,0.9972301,0.08138993
20e75472d,-2.1176248,0.19704005,0.60592234,0.85870516,0.25809416
21579dbcc,-1.6225408,-0.23648101,0.383125,0.21821593,0.8540337
215903d75,-3.0968778,-0.07503811,0.7409808,1.1684064,0.9446943
216550479,-0.974848,0.9988462,0.023312064,-0.17007753,-0.28574887
217fcf5f1,-3.1142807,0.4333845,-0.19997661,1.4696155,0.8073033
22145fe75,-2.5469937,0.2967855,1.2409912,0.6137074,0.088817455
2239dee36,-1.5622435,0.6909092,1.1757102,0.23669304,-0.95812094
22e73ac3a,-0.7700559,0.4142132,0.40207887,0.16794604,-0.29779953
22ff7ca25,-0.7644191,0.09760198,0.78943,0.24222048,-0.4997857
235572f38,-0.61590743,0.46443042,0.0011308175,0.11172718,-0.30655962
2374a1c12,-1.1096008,1.5697105,1.2908037,-0.012269717,-1.6031731
23829dc63,-0.31003514,1.8072159,1.4086784,-0.16234963,-2.9184833
23a1e62d8,-1.1739823,0.99003637,-0.13515434,0.08013764,0.15019602
25c1c662b,-1.1474144,0.4500321,0.0343647,0.24714293,0.3640359
2619f003d,-0.5465538,0.9147321,0.08904267,-0.36498114,0.013697296
2630db5dc,-2.0157628,0.75045043,0.9579827,0.76108724,-0.4564585
267162afd,-2.081677,1.4386021,0.7477021,0.44941416,-0.96395934
26988350b,-2.1422384,0.6079069,1.1421088,1.0412307,-0.6914804
26c1fc882,-1.5273015,0.44791093,0.87666976,0.47416905,-0.46749532
271ca0b0e,-2.464438,-0.5344036,-0.29358822,1.2876161,1.6891844
27c0034f8,-0.68149036,1.1324002,0.116461486,0.08199544,-0.6029867
27c5bfcf1,-0.34864116,1.2031019,0.057312787,-0.39975175,-0.6660288
2836c44dc,-1.7518995,1.2471993,1.4951302,0.8858033,-1.9641968
283d0763f,-3.6550715,-0.018924765,0.7340716,1.429825,1.5987489
28cf4a84d,-1.0728024,0.2638353,1.3130144,0.54313666,-1.1635365
28f1efe3c,-1.0361702,0.70385903,0.014014309,-0.008329857,-0.04396876
2a9be9456,-2.3768146,-1.5321041,0.50323755,0.6021671,2.573364
2bdf3471b,-0.85186243,0.6431015,0.51061654,-0.3115729,-0.03944639
2c007007f,-0.95762074,0.73665076,-0.012601266,0.17598885,0.16127476
2c983fe89,-0.63582164,1.303141,0.53292775,-0.026111336,-1.3173192
2cea63a41,-1.8475873,1.089858,1.6157135,0.28655612,-1.414049
2d725d001,-1.8861893,1.8623333,0.22196572,0.67436606,-1.0876217
2db012118,-2.9556396,-1.1130652,1.1364306,0.6749939,2.254369
2e3c988cd,-1.8040861,0.3745456,1.8475978,1.1702878,-1.6618775
2e4c1faf7,-0.8321193,0.98326397,1.3867003,0.06429079,-1.9226029
2e726c62d,-1.0512283,0.85360557,0.7117944,0.08669354,-0.92771655
2e7d08fa6,-1.3960767,1.4594758,0.59184945,0.20592104,-0.9009588
2e829ee7c,-1.4655442,0.5426726,0.43337253,-0.5640182,0.8828358
2ef82137f,-1.6790208,0.6694952,0.13915716,-0.4594015,0.96546096
2fdc23bcb,-1.0629022,1.1412125,0.63534194,0.35526448,-1.0324464
2ff9e9534,-2.438019,0.9808412,1.4571943,0.78222287,-1.3202142
30908fb77,-1.295669,0.0150087625,0.29313108,0.359075,0.3428349
30bfebc76,-2.467321,0.011906333,-1.0218441,-0.07064177,3.2014394
3105b0012,-2.5390036,0.3080258,0.095823094,0.1895604,1.5699476
31926dd6d,-1.1621919,0.61078715,0.57984173,-0.14367087,0.092655525
31f59daf4,-1.0020089,0.838366,1.2784826,0.1832393,-1.2949471
325d0e364,-3.275062,-0.31695762,0.25518766,1.484529,1.6463482
33aa18b41,-1.4046532,0.14739254,0.9772884,1.0100359,-1.3366168
34221a4f8,-1.8878448,-0.012047157,0.7921426,0.6030159,0.34439304
34c4e74a9,-1.4502665,0.4474289,0.43380693,-0.088707656,0.30384728
34dc86aae,-1.956545,0.7474973,1.5937173,0.77951926,-1.3555725
351f3746c,-1.3192464,1.5706582,0.21838744,0.32197145,-0.9837731
35bbdb5fd,-1.6026253,0.5227167,0.6455676,0.40377656,0.09349808
36681852f,-1.6555773,0.29301998,0.47804976,0.12591472,0.34976426
36b7411f9,-2.8889902,-0.51100725,1.3618444,0.69629663,1.0689422
36d764abf,-0.96611893,2.164092,0.47169387,0.22525124,-2.1451082
37cb01a87,-1.4724252,1.3809713,0.85641307,0.07502425,-0.9629962
387a8e71a,-1.8693111,0.6988193,1.281593,0.7640262,-1.2285352
38e7577af,-0.66878194,0.88704383,1.007125,0.01850992,-1.3364192
3a5d5a265,-2.4021773,-0.065262474,1.2244879,1.1272029,-0.2263001
3a8f89229,-1.4411063,0.21713346,1.8813348,0.35304138,-1.1439617
3ab64c5a4,-1.1904498,0.64783907,1.3350106,-0.23616338,-0.56876576
3b0b2a86a,-0.7862552,0.19409493,0.26907656,-0.027643105,0.14929919
3b3b37546,-1.059297,0.7310338,0.6481977,-0.3279617,-0.41825148
3bb0c9458,-1.0753704,1.4000736,0.9642029,0.093230784,-1.3782533
3c03a9912,-1.4790531,0.28438088,0.9740983,-0.32533798,0.16586348
3c6f9a4e7,-1.3676702,0.98485905,1.1651938,0.47115615,-1.3362434
3ce0f0aa5,-1.0371649,0.8811474,0.9632483,0.092734426,-1.0693152
3d8760efc,-0.28527972,1.0579758,0.9291414,-0.6530779,-1.0818496
3de6bc035,-3.078531,-0.55256534,0.88410336,0.93774635,1.478811
3df923a0e,-3.3334017,-0.07559375,0.41068807,0.4136211,2.560754
3f016dcab,-1.7813765,-0.3925291,0.73129064,0.4326868,0.98147625
3f03da51e,-2.2635593,0.45144272,1.0759822,0.97939974,-0.11037147
3f568e3a2,-1.5440141,-0.31257185,0.47766447,-0.20211257,1.1730144
4060caeb1,-2.4744763,1.1470715,0.64815253,0.6590049,0.1184403
40d7cb083,-2.2500792,-0.10585841,0.8543961,0.6683405,0.3574015
420193f17,-1.9661826,0.9584865,1.1718196,0.65541095,-0.8528446
420bdee9f,-2.3633237,-0.39168856,1.5985695,1.1293436,-0.57726026
4298e4c15,-1.553447,-0.46127722,0.29953247,0.6747132,0.96856433
42eac4984,-2.431063,1.0704541,0.70183456,0.31021357,0.2887707
442ab63f2,-2.1060002,-0.20851925,1.2051121,0.30740443,0.6753118
4450385b4,-1.792234,-0.25503066,0.6359507,1.1658338,0.2714338
4482a8d57,-1.2341474,1.19028,0.91905826,0.3873893,-1.3127482
4501c8125,-1.0552106,1.318584,0.9778746,-0.311896,-1.0718548
452a50855,-0.50714034,0.4952199,1.2554847,-0.5013835,-0.7426081
45a283ed6,-1.7816163,0.4737107,1.2955711,0.18290487,-0.1739837
45c871da9,-2.0098577,-0.011737563,0.6640196,0.38450277,0.6553514
45f9a9f66,-1.5262711,0.76251763,1.0520345,0.06960903,-0.5582552
460ac160c,-1.2944283,0.74537414,0.5524119,0.09126072,-0.3646839
463706ace,-0.7194255,1.5077072,1.4959859,-0.28165007,-2.4569864
46e25aa2b,-1.5824211,0.26860225,2.108821,0.56840014,-1.3795772
46feadc45,-1.3972383,0.96986395,0.360036,0.75057125,-0.838541
4874347b0,-1.7321616,0.6591597,0.9871299,0.22319688,-0.46572444
48a2630a1,-2.859276,0.6027527,1.5026293,1.1186577,-0.69155496
48bfc494a,-2.1097066,0.8559976,0.8435441,1.1852996,-0.71796757
48d1bb550,-1.4986987,0.9517749,0.24206711,0.5977989,-0.56295675
4963e95ce,-0.45221883,1.136617,0.7043061,-0.3130395,-1.3134005
4982cc983,-1.4947798,0.28273907,0.44709077,-0.656343,1.2436931
4a8f49ac8,-1.8309332,0.43536952,1.1491461,1.1561505,-1.0595028
4ac47ceae,-1.7684276,-0.73717904,0.7730516,0.29935935,1.3316722
4b6c04393,-1.9069417,-0.31148988,0.34024525,1.1905882,0.61085284
4bcc9f10a,-1.6428356,1.540472,0.9973696,0.10120787,-1.3361923
4cb849b69,-1.6928575,0.91278666,0.41356248,0.8239563,-0.5136067
4ce29bb83,-1.1126963,0.2921832,0.16973768,0.7139291,-0.10395679
4ce620a7a,-1.4115454,1.1254165,0.54463255,0.49044695,-0.7003026
4ceff22c4,-1.2601743,0.27014205,0.4505502,0.28935295,0.084460154
4d5e4949a,-0.56218374,1.1124315,0.44425553,-0.3528227,-0.83115566
4e1033fe2,-0.92593193,0.438164,1.1880786,0.25306404,-1.1028956
4edc9ecc5,-2.7379553,-0.07949675,0.6096863,0.8496621,1.3876183
4f0eacbdd,-1.0937507,0.79242015,0.19168828,-0.38702875,0.40625125
4f3b3314c,-2.222596,0.3763695,0.9491722,0.34309298,0.2802808
4f5f178e6,-0.92816544,0.13369709,0.74730146,0.3777481,-0.582644
4f629151c,-1.3921659,0.27571294,0.057589397,0.22031243,0.76423514
4fc7557be,-1.6669116,-0.6925501,1.0803155,0.83867884,0.35390732
50ad19176,-1.4304659,0.1266937,1.2451527,0.009367868,-0.42576173
516646a4f,-1.3785418,-0.83905905,0.28745794,0.7999182,1.0308895
527b6112b,-2.0482743,0.924866,1.4947957,1.247911,-1.533708
5290a4428,-2.2859087,0.12614278,0.35459495,1.0216922,0.6957507
532b5a798,-2.335487,0.25862154,0.892138,0.32091445,0.6854782
53bcfd67d,-1.538824,0.69471,0.86802787,0.10382675,-0.392266
544c16564,-1.6600025,0.55310905,0.87462527,0.3382839,0.034530178
547c7bf41,-1.5570472,1.052089,0.750274,0.46005127,-0.8402169
549c35706,-1.0491426,1.4536129,1.2292706,-0.2492913,-1.5269312
54c5d6442,-0.41723034,1.6765659,-0.026447123,0.006743159,-1.3941656
554965e66,-2.0163412,0.44594368,1.3845828,1.0089244,-0.95111966
556549333,-1.65508,0.106851265,0.8884761,0.079046234,0.032004476
570fb2f6c,-2.1999683,-0.56178397,1.1456833,1.1498028,0.5563269
571ce0202,-0.9845766,0.5270874,0.14366782,-0.031122552,0.3730688
57cd5663c,-1.2947423,0.5421638,0.8935832,0.08071782,-0.4709008
586585da9,-0.8096359,0.848103,0.45467103,0.2619709,-0.79292846
5944cef68,-1.3334484,0.34025243,0.62103987,-0.057449125,0.12884253
59e6d1d66,-0.7144296,1.4623197,0.6991882,-0.5550966,-0.92603755
59f987236,-2.2603338,0.38899776,0.3687675,0.083010465,1.389607
5b11611ff,-1.7396096,0.36014533,-0.3711212,0.5541003,1.4170128
5b346ef59,-1.7045594,-0.1400294,0.9245148,0.83066297,-0.10218907
5bc5e3faa,-1.8723722,0.32208306,1.0212921,0.6596715,-0.36032856
5c94ecc07,-0.7193963,0.89611447,0.6712261,-0.2874364,-0.49681053
5d9feff2e,-1.0168561,0.50724906,1.0280048,0.6077756,-1.2808764
5da0df190,-1.1088116,0.26306492,0.98250866,0.15250514,-0.29206982
5dace0494,-1.4004701,0.3220863,1.1896069,0.221179,-0.60329866
5e711ed8d,-2.8722036,0.20568952,1.4119433,0.8507623,-0.12210632
5f20dde82,-2.1661766,2.3757322,0.9055743,0.12648179,-1.2825835
5f235ec16,-1.9603107,-0.36522028,1.1349686,0.33737823,0.7745026
5f5bd40ca,-1.0666162,1.1072081,0.47909206,-0.27986258,-0.46777013
5f9abe87c,-0.9965362,0.5884323,0.7472678,-0.18607084,-0.39398783
5fde0ce59,-0.62843317,-0.04589165,0.640336,0.32229728,-0.5090483
600f8eb25,-0.7543016,0.2620849,0.39667746,0.25274435,-0.29024032
603d1d51c,-0.33977136,1.6582617,1.3710012,-0.12135477,-2.5343637
609e37f6a,-1.7445643,-0.31721225,1.3121032,0.6755286,-0.2021216
60fa6acbe,-1.8496003,0.26304352,1.4731414,0.90141493,-1.0692642
610c05772,-2.7852426,-0.20187202,0.09038891,0.5767828,2.2075057
6154a6716,-1.4025869,-0.11932097,1.0432967,-0.18330868,0.4649475
61e7f4ebe,-1.1927814,0.7857445,1.7070087,-0.007702064,-1.3145949
6230b6c50,-1.202005,0.79872465,1.3260416,0.0045492426,-1.1203728
6258b0d76,-1.2801936,-0.0650304,0.66401184,0.22807153,0.28804287
6261c9966,-1.356897,0.5103914,0.883451,-0.23773181,0.026181716
62d911513,-0.602297,0.40433416,0.10251872,0.28122884,-0.051790684
63a5af53c,-1.4589536,0.07519927,0.81981903,0.10526571,0.35527954
64f06dc3b,-0.32798982,0.3386635,0.15576802,-0.46734685,0.10513086
650a1a505,-1.4096336,-0.035632037,0.7803428,0.11921753,0.2063092
653b3e668,-2.7306225,-0.33285552,0.970567,1.0173126,0.6507448
65b46ef09,-1.741498,0.35825354,0.3181206,1.0039108,-0.33962387
6666265da,-0.5246563,0.88229555,0.38546005,-0.18314688,-0.6468438
6668704bf,-1.194899,-0.14936286,0.32737616,0.249016,0.9137499
66dda45c4,-0.8673471,0.009695664,0.086991504,0.28796837,0.23058653
6774f84e3,-0.49187693,1.1300458,0.3123176,-0.2646454,-0.76896375
6786609aa,-2.0183501,-0.60953516,0.7300496,0.8245423,0.8883762
67dbd5ed9,-0.4893524,1.537947,0.798625,-0.60673577,-1.4786829
682ed2e7b,-1.2823069,0.70655984,1.164984,0.6761328,-1.3398457
68860d109,-2.0250404,-0.68108165,0.15695685,0.045660283,2.4570048
68a4cd579,-2.966701,-0.48740253,0.88949764,0.62182266,1.9175402
68b7c23f3,-1.6600353,0.16147584,0.4117226,-0.07982254,1.2024766
6a9f15d94,-0.9743156,0.5200066,0.37509945,-0.12814781,-0.0047309254
6ada9811e,-1.1918669,1.8724973,0.48817164,-0.24636489,-1.1256989
6b307a8ec,-1.8650026,0.43854475,1.040815,0.21927027,-0.32691246
6b574c312,-2.6501021,-0.011715479,0.8842204,1.2703385,0.18190297
6be26ea05,-1.6593547,0.06917003,0.8396739,0.11425334,0.6366458
6c71db5b5,-2.152886,-0.01475016,-0.11662367,1.0503983,1.0962094
6c896760b,-1.6530439,0.50840706,0.43884164,0.4734582,-0.31118435
6cd340cfd,-2.2612922,-0.11555726,0.65084535,0.64857244,0.94884765
6d55edd17,-1.3804913,0.5606622,0.0849024,0.35123527,0.16259475
6d7e560d9,-1.5977945,0.0644486,0.0877423,-0.04542591,1.218236
6d87736bc,-0.39899868,1.4281203,0.78610593,-0.45796013,-1.3946021
6d94a56ef,-0.4871566,1.3345971,0.47803622,-0.43062755,-1.1262926
6dd91ba4d,0.022679918,1.8665833,0.9392943,-1.0170518,-1.9502219
6de0087e7,-1.0352855,1.3525043,1.0532966,-0.36321846,-1.4673609
6f08e9c5f,-1.5473526,0.9960785,0.70855093,0.34509778,-0.560503
6f0cbc167,-0.9714862,0.77710956,0.9991368,-0.025181262,-0.8773861
6f12e6d07,-2.2743843,0.7390331,0.69622684,-0.12807399,0.91685724
6f14bc8cd,-1.6487927,1.1684171,0.9512328,1.0535461,-1.7606318
6f46311db,-1.6933194,-0.014463499,0.38695204,0.5817135,-0.0165321
703105908,-1.382505,-0.14582038,0.4883033,0.29713786,0.75491613
70edbb1e3,-2.4925582,0.59321856,0.7647679,0.65480113,0.34895682
718a5d950,-1.3331871,0.43658626,0.8041877,-0.08326706,0.15463683
71c3f9254,-1.2210271,0.6021331,0.43166047,-0.07642417,-0.22613782
724736153,-1.6620674,0.49321058,1.091929,0.8656628,-0.6565737
729f4d5fa,-1.890004,0.518116,1.0816604,0.7602907,-0.5367147
72bd22c9e,-1.24396,1.1834681,0.21893543,0.11715615,-0.70597255
72e093c41,-1.6627704,1.3019185,1.4333075,0.6821407,-1.9201254
73d7bb2ce,-1.0585216,0.42023435,0.40852717,0.24019675,-0.10813727
7582d1ab2,-1.2127812,0.29287523,-0.099231265,-0.057584867,0.84624445
75f582ad6,-1.3155237,0.85740304,0.64258003,0.10037555,-0.69454265
75fc7829e,-2.7040093,-0.24558339,0.49404174,-0.04641946,2.30019
761523328,-2.217619,0.13312413,1.0962052,0.2950493,0.47489214
76b67f389,-1.1045841,1.1171166,1.3391198,0.005723551,-1.3910695
76d5726c4,-2.5555708,-0.008522958,0.25067362,1.006507,1.120842
76fefc6ab,-1.7274936,1.0396092,0.887928,-0.117551506,-0.093688585
